   MG   CLJ   235    -62.388   46.480  -17.078
  CHA   CLJ   235    -61.444   43.605  -18.808
  CHB   CLJ   235    -65.644   45.663  -17.475
  HHB   CLJ   235    -66.686   45.391  -17.618
  CHC   CLJ   235    -63.239   49.360  -15.427
  HHC   CLJ   235    -63.515   50.241  -14.851
  CHD   CLJ   235    -59.009   47.343  -16.834
  HHD   CLJ   235    -57.959   47.599  -16.761
   NA   CLJ   235    -63.362   44.860  -17.967
  C1A   CLJ   235    -62.803   43.757  -18.640
  C2A   CLJ   235    -63.913   42.815  -19.143
  H2A   CLJ   235    -63.854   42.775  -20.253
  C3A   CLJ   235    -65.217   43.530  -18.718
  H3A   CLJ   235    -65.899   43.211  -17.931
  C4A   CLJ   235    -64.725   44.771  -17.986
  CMA   CLJ   235    -66.078   43.895  -19.900
 HMA1   CLJ   235    -66.454   42.978  -20.406
 HMA2   CLJ   235    -65.499   44.486  -20.645
 HMA3   CLJ   235    -66.961   44.499  -19.598
  CAA   CLJ   235    -63.838   41.400  -18.568
 HAA1   CLJ   235    -62.857   41.228  -18.074
 HAA2   CLJ   235    -63.846   40.734  -19.467
  CBA   CLJ   235    -64.954   41.008  -17.622
 HBA1   CLJ   235    -65.942   41.471  -17.645
 HBA2   CLJ   235    -64.584   41.133  -16.577
  CGA   CLJ   235    -65.337   39.570  -17.826
  O1A   CLJ   235    -64.658   38.552  -17.661
  O2A   CLJ   235    -66.632   39.428  -18.247
   NB   CLJ   235    -64.118   47.362  -16.561
  C1B   CLJ   235    -65.347   46.851  -16.792
  C2B   CLJ   235    -66.386   47.739  -16.217
  C3B   CLJ   235    -65.722   48.801  -15.631
  C4B   CLJ   235    -64.263   48.567  -15.839
  CMB   CLJ   235    -67.809   47.412  -16.334
 HMB1   CLJ   235    -68.007   46.407  -15.908
 HMB2   CLJ   235    -68.099   47.416  -17.406
 HMB3   CLJ   235    -68.421   48.169  -15.799
  CAB   CLJ   235    -66.252   49.935  -14.920
  HAB   CLJ   235    -66.902   49.695  -14.064
  CBB   CLJ   235    -66.031   51.219  -15.186
 HBB1   CLJ   235    -65.386   51.513  -16.029
 HBB2   CLJ   235    -66.482   52.014  -14.572
   NC   CLJ   235    -61.298   48.067  -16.269
  C1C   CLJ   235    -61.856   49.133  -15.630
  C2C   CLJ   235    -60.825   50.040  -15.167
  C3C   CLJ   235    -59.599   49.510  -15.576
  C4C   CLJ   235    -59.916   48.251  -16.265
  CMC   CLJ   235    -61.107   51.271  -14.426
 HMC1   CLJ   235    -61.778   51.029  -13.575
 HMC2   CLJ   235    -61.601   52.009  -15.089
 HMC3   CLJ   235    -60.181   51.712  -14.008
  CAC   CLJ   235    -58.296   50.144  -15.273
 HAC1   CLJ   235    -57.979   49.707  -14.306
 HAC2   CLJ   235    -58.474   51.224  -15.080
  CBC   CLJ   235    -57.089   50.102  -16.191
 HBC1   CLJ   235    -57.374   50.350  -17.229
 HBC2   CLJ   235    -56.627   49.095  -16.189
 HBC3   CLJ   235    -56.326   50.835  -15.852
   ND   CLJ   235    -60.607   45.683  -17.587
  C1D   CLJ   235    -59.288   46.163  -17.446
  C2D   CLJ   235    -58.332   45.219  -18.050
  C3D   CLJ   235    -59.107   44.214  -18.584
  C4D   CLJ   235    -60.515   44.558  -18.288
  CMD   CLJ   235    -56.880   45.389  -18.052
 HMD1   CLJ   235    -56.476   45.123  -17.053
 HMD2   CLJ   235    -56.616   46.435  -18.307
 HMD3   CLJ   235    -56.434   44.705  -18.806
  CAD   CLJ   235    -59.100   42.964  -19.307
  OBD   CLJ   235    -58.156   42.295  -19.705
  CBD   CLJ   235    -60.590   42.570  -19.522
 HBD1   CLJ   235    -60.707   41.587  -19.036
  CGD   CLJ   235    -60.955   42.468  -20.981
  O1D   CLJ   235    -60.738   43.294  -21.874
  O2D   CLJ   235    -61.604   41.316  -21.314
  CED   CLJ   235    -60.825   40.144  -21.558
 HED1   CLJ   235    -59.770   40.241  -21.205
 HED2   CLJ   235    -60.808   39.924  -22.649
 HED3   CLJ   235    -61.284   39.273  -21.039
   C1   CLJ   235    -66.926   38.290  -19.081
   H1   CLJ   235    -67.942   37.915  -18.817
   H2   CLJ   235    -66.234   37.431  -18.901
   C2   CLJ   235    -66.924   38.782  -20.481
   H3   CLJ   235    -67.174   39.844  -20.639
   C3   CLJ   235    -66.678   38.002  -21.548
   H4   CLJ   235    -66.685   38.446  -22.557
   C4   CLJ   235    -66.372   36.557  -21.425
   H5   CLJ   235    -66.535   36.110  -20.422
   H6   CLJ   235    -65.316   36.356  -21.709
   H7   CLJ   235    -67.011   35.975  -22.124
   MG   CLG   236    -49.446   45.483  -15.669
  CHA   CLG   236    -50.986   45.050  -12.624
  CHB   CLG   236    -46.725   43.795  -14.503
  HHB   CLG   236    -45.807   43.400  -14.084
  CHC   CLG   236    -48.278   45.248  -18.883
  HHC   CLG   236    -47.889   45.200  -19.894
  CHD   CLG   236    -52.552   46.618  -16.950
  HHD   CLG   236    -53.523   46.959  -17.293
   NA   CLG   236    -48.944   44.612  -13.844
  C1A   CLG   236    -49.733   44.532  -12.694
  C2A   CLG   236    -48.990   43.847  -11.555
  H2A   CLG   236    -48.999   44.477  -10.642
  C3A   CLG   236    -47.552   43.828  -12.118
  H3A   CLG   236    -47.051   42.864  -11.906
  C4A   CLG   236    -47.728   44.067  -13.604
  CMA   CLG   236    -46.777   44.979  -11.551
 HMA1   CLG   236    -46.514   44.806  -10.484
 HMA2   CLG   236    -47.362   45.922  -11.626
 HMA3   CLG   236    -45.842   45.134  -12.127
  CAA   CLG   236    -49.537   42.474  -11.179
 HAA1   CLG   236    -50.497   42.675  -10.641
 HAA2   CLG   236    -48.882   41.979  -10.431
